date	kperiod	irregular	holiday	count	DeliverD1	DeliverD7	DeliverD14	DeliverD21	Bill1	Bill7	Bill14	Bill21	Deliver	AvgService
19-02-04	10	0	0	4	0	0	0	0	0	0	0	0	0	2.963333
19-02-04	11	0	0	10	0	0	0	0	0	0	0	0	0	1.143333
19-02-04	12	0	0	9	0	0	0	0	0	0	0	0	0	1.64
19-02-04	13	0	0	41	0	0	0	0	0	0	0	0	0	2.321667
19-02-04	14	0	0	41	0	0	0	0	0	0	0	0	0	1.983333
19-02-04	15	0	0	80	0	0	0	0	0	0	0	0	0	2.255
19-02-04	16	0	0	137	0	0	0	0	0	0	0	0	0	2.753333
19-02-04	17	0	0	199	0	0	0	0	0	0	0	0	0	3.138333
19-02-04	18	0	0	267	0	0	0	0	0	0	0	0	0	3.1
19-02-04	19	0	0	295	0	0	0	0	0	0	0	0	0	3.363333
19-02-04	20	0	0	331	0	0	0	0	0	0	0	0	0	3.286667
19-02-04	21	0	0	363	0	0	0	0	0	0	0	0	0	3.066667
19-02-04	22	0	0	381	0	0	0	0	0	0	0	0	0	3.481667
19-02-04	23	0	0	396	0	0	0	0	0	0	0	0	0	2.988333
19-02-04	24	0	0	366	0	0	0	0	0	0	0	0	0	3.216667
19-02-04	25	0	0	420	0	0	0	0	0	0	0	0	0	3.166667
19-02-04	26	0	0	406	0	0	0	0	0	0	0	0	0	2.665
19-02-04	27	0	0	464	0	0	0	0	0	0	0	0	0	3.013333
19-02-04	28	0	0	492	0	0	0	0	0	0	0	0	0	2.918333
19-02-04	29	0	0	450	0	0	0	0	0	0	0	0	0	2.931667
19-02-04	30	0	0	448	0	0	0	0	0	0	0	0	0	3.058333
19-02-04	31	0	0	409	0	0	0	0	0	0	0	0	0	3.058333
19-02-04	32	0	0	425	0	0	0	0	0	0	0	0	0	2.961667
19-02-04	33	0	0	446	0	0	0	0	0	0	0	0	0	2.855
19-02-04	34	0	0	446	0	0	0	0	0	0	0	0	0	2.908333
19-02-04	35	0	0	425	0	0	0	0	0	0	0	0	0	2.991667
19-02-04	36	0	0	482	0	0	0	0	0	0	0	0	0	3.063333
19-02-04	37	0	0	529	0	0	0	0	0	0	0	0	0	2.748333
19-02-04	38	0	0	506	0	0	0	0	0	0	0	0	0	2.765
19-02-04	39	0	0	480	0	0	0	0	0	0	0	0	0	2.618333
19-02-04	40	0	0	434	0	0	0	0	0	0	0	0	0	2.81
19-02-04	41	0	0	387	0	0	0	0	0	0	0	0	0	2.76
19-02-04	42	0	0	385	0	0	0	0	0	0	0	0	0	3.03
19-02-04	43	0	0	343	0	0	0	0	0	0	0	0	0	2.406667
19-02-04	44	0	0	337	0	0	0	0	0	0	0	0	0	2.82
19-02-04	45	0	0	215	0	0	0	0	0	0	0	0	0	2.531667
19-02-04	46	0	0	221	0	0	0	0	0	0	0	0	0	2.751667
19-02-04	47	0	0	182	0	0	0	0	0	0	0	0	0	2.656667
19-02-04	48	0	0	132	0	0	0	0	0	0	0	0	0	2.311667
20-02-04	1	0	0	109	0	0	0	0	0	0	0	0	0	3.585
20-02-04	2	0	0	80	0	0	0	0	0	0	0	0	0	2.851667
20-02-04	3	0	0	56	0	0	0	0	0	0	0	0	0	1.763333
20-02-04	4	0	0	66	0	0	0	0	0	0	0	0	0	2.633333
20-02-04	5	0	0	49	0	0	0	0	0	0	0	0	0	1.678333
20-02-04	6	0	0	19	0	0	0	0	0	0	0	0	0	1.906667
20-02-04	7	0	0	16	0	0	0	0	0	0	0	0	0	2.945
20-02-04	8	0	0	6	0	0	0	0	0	0	0	0	0	1.821667
20-02-04	9	0	0	8	0	0	0	0	0	0	0	0	0	3.526667
20-02-04	10	0	0	6	0	0	0	0	0	0	0	0	0	3.121667
20-02-04	11	0	0	7	0	0	0	0	0	0	0	0	0	2.121667
20-02-04	12	0	0	4	0	0	0	0	0	0	0	0	0	3.896667
20-02-04	13	0	0	28	0	0	0	0	0	0	0	0	0	1.376667
20-02-04	14	0	0	18	0	0	0	0	0	0	0	0	0	2.82
20-02-04	15	0	0	56	0	0	0	0	0	0	0	0	0	2.835
20-02-04	16	0	0	119	0	0	0	0	0	0	0	0	0	2.863333
20-02-04	17	0	0	169	0	0	0	0	0	0	0	0	0	2.316667
20-02-04	18	0	0	251	0	0	0	0	0	0	0	0	0	3.166667
20-02-04	19	0	0	243	0	0	0	0	0	0	0	0	0	2.755
20-02-04	20	0	0	315	0	0	0	0	0	0	0	0	0	3.091667
20-02-04	21	0	0	356	0	0	0	0	0	0	0	0	0	2.766667
20-02-04	22	0	0	382	0	0	0	0	0	0	0	0	0	2.528333
20-02-04	23	0	0	414	0	0	0	0	0	0	0	0	0	2.688333
20-02-04	24	0	0	427	0	0	0	0	0	0	0	0	0	2.833333
20-02-04	25	0	0	406	0	0	0	0	0	0	0	0	0	2.921667
20-02-04	26	0	0	408	0	0	0	0	0	0	0	0	0	3.2
20-02-04	27	0	0	445	0	0	0	0	0	0	0	0	0	2.45
20-02-04	28	0	0	358	0	0	0	0	0	0	0	0	0	2.701667
20-02-04	29	0	0	360	0	0	0	0	0	0	0	0	0	3.413333
20-02-04	30	0	0	285	0	0	0	0	0	0	0	0	0	2.705
20-02-04	31	0	0	300	0	0	0	0	0	0	0	0	0	3.07
20-02-04	32	0	0	242	0	0	0	0	0	0	0	0	0	2.718333
20-02-04	33	0	0	278	0	0	0	0	0	0	0	0	0	3.045
20-02-04	34	0	0	250	0	0	0	0	0	0	0	0	0	2.718333
20-02-04	35	0	0	217	0	0	0	0	0	0	0	0	0	2.496667
20-02-04	36	0	0	173	0	0	0	0	0	0	0	0	0	2.391667
20-02-04	37	0	0	209	0	0	0	0	0	0	0	0	0	3.05
20-02-04	38	0	0	245	0	0	0	0	0	0	0	0	0	3.048333
20-02-04	39	0	0	260	0	0	0	0	0	0	0	0	0	2.698333
20-02-04	40	0	0	243	0	0	0	0	0	0	0	0	0	2.586667
20-02-04	41	0	0	217	0	0	0	0	0	0	0	0	0	2.23
20-02-04	42	0	0	154	0	0	0	0	0	0	0	0	0	2.321667
20-02-04	43	0	0	125	0	0	0	0	0	0	0	0	0	2.368333
20-02-04	44	0	0	149	0	0	0	0	0	0	0	0	0	1.925
20-02-04	45	0	0	116	0	0	0	0	0	0	0	0	0	2.746667
20-02-04	46	0	0	104	0	0	0	0	0	0	0	0	0	1.843333
20-02-04	47	0	0	113	0	0	0	0	0	0	0	0	0	1.795
20-02-04	48	0	0	73	0	0	0	0	0	0	0	0	0	1.753333
21-02-04	1	0	0	91	0	0	0	0	0	0	0	0	0	2.036667
21-02-04	2	0	0	60	0	0	0	0	0	0	0	0	0	2.281667
21-02-04	3	0	0	42	0	0	0	0	0	0	0	0	0	1.238333
21-02-04	4	0	0	29	0	0	0	0	0	0	0	0	0	1.375
21-02-04	5	0	0	22	0	0	0	0	0	0	0	0	0	1.17
21-02-04	6	0	0	18	0	0	0	0	0	0	0	0	0	1.903333
21-02-04	7	0	0	16	0	0	0	0	0	0	0	0	0	2.761667
21-02-04	8	0	0	10	0	0	0	0	0	0	0	0	0	3.335
21-02-04	9	0	0	11	0	0	0	0	0	0	0	0	0	4.445
21-02-04	10	0	0	31	0	0	0	0	0	0	0	0	0	1.486667
21-02-04	11	0	0	20	0	0	0	0	0	0	0	0	0	1.215
21-02-04	12	0	0	23	0	0	0	0	0	0	0	0	0	0.701667
21-02-04	13	0	0	17	0	0	0	0	0	0	0	0	0	1.605
21-02-04	14	0	0	11	0	0	0	0	0	0	0	0	0	1.993333
